[19, 24, 45, 52, 59, 71, 122, 145]
[42, 65, 71, 79, 104, 112, 120, 147]
[13, 19, 41, 71, 95, 105, 146, 148]
[15, 31, 42, 67, 85, 115, 116, 150]
[49, 52, 53, 70, 82, 110, 116, 118]
[3, 16, 18, 25, 39, 100, 103, 143]
[23, 27, 53, 85, 89, 106, 114, 129]
[23, 56, 74, 124, 128, 138, 142, 150]
[32, 35, 59, 88, 91, 100, 122, 137]
[3, 21, 57, 92, 97, 98, 117, 119]
[13, 14, 37, 74, 86, 100, 102, 109]
[9, 20, 33, 68, 77, 104, 112, 116]
[12, 40, 67, 74, 75, 82, 105, 113]
[16, 75, 84, 98, 117, 118, 123, 129]
[0, 2, 3, 29, 51, 59, 69, 117]
[8, 37, 61, 73, 87, 126, 136, 146]
[8, 21, 57, 67, 86, 106, 115, 136]
[33, 35, 38, 65, 79, 101, 115, 148]
[1, 5, 13, 22, 58, 96, 109, 121]
[19, 20, 45, 68, 94, 115, 128, 141]
[3, 23, 35, 79, 93, 124, 136, 144]
[18, 52, 70, 81, 100, 105, 132, 147]
[52, 66, 71, 134, 135, 142, 146, 150]
[15, 19, 24, 32, 108, 112, 128, 130]
[9, 11, 27, 43, 45, 95, 133, 150]
[23, 35, 42, 86, 91, 94, 100, 124]
[22, 44, 52, 55, 74, 102, 122, 150]
[34, 49, 80, 102, 139, 143, 145, 147]
[6, 17, 51, 53, 64, 67, 68, 101]
[31, 34, 43, 60, 70, 86, 95, 128]
[8, 10, 12, 34, 80, 123, 138, 150]
[15, 16, 39, 50, 56, 62, 78, 143]
[11, 54, 61, 74, 91, 104, 111, 116]
[10, 15, 24, 46, 54, 91, 121, 140]
[12, 24, 58, 77, 98, 128, 129, 141]
[5, 12, 56, 81, 105, 106, 144, 149]
[55, 59, 64, 72, 82, 85, 101, 132]
[16, 22, 27, 53, 65, 69, 104, 110]
[2, 33, 38, 60, 67, 102, 126, 146]
[0, 19, 36, 56, 61, 65, 78, 141]
[5, 13, 30, 49, 61, 69, 80, 107]
[19, 43, 52, 56, 76, 84, 98, 118]
[1, 6, 27, 38, 71, 104, 116, 138]
[4, 5, 78, 80, 92, 141, 145, 149]
[21, 25, 30, 31, 53, 94, 105, 131]
[0, 8, 9, 14, 66, 85, 95, 132]
[4, 23, 58, 78, 103, 106, 114, 133]
[31, 41, 59, 64, 77, 108, 128, 143]
[14, 19, 50, 55, 116, 126, 139, 140]
[12, 30, 32, 42, 74, 102, 104, 108]
[6, 21, 55, 74, 78, 99, 126, 136]
[17, 43, 51, 59, 74, 128, 132, 144]
[9, 76, 93, 112, 128, 129, 133, 134]
[1, 4, 20, 46, 64, 102, 118, 119]
[27, 47, 71, 84, 94, 102, 146, 149]
[5, 10, 11, 13, 57, 83, 94, 97]
[18, 46, 74, 103, 114, 121, 134, 140]
[15, 33, 36, 65, 80, 104, 125, 142]
[6, 23, 52, 96, 100, 118, 131, 148]
[9, 26, 41, 53, 55, 96, 115, 133]
[0, 3, 8, 47, 75, 119, 120, 148]
[44, 79, 105, 118, 127, 134, 140, 142]
[28, 76, 90, 108, 123, 130, 133, 139]
[6, 12, 28, 50, 62, 63, 70, 75]
[6, 22, 75, 85, 89, 106, 109, 110]
[7, 40, 75, 82, 97, 126, 142, 145]
[17, 24, 60, 69, 109, 137, 148, 150]
[42, 45, 47, 64, 73, 75, 84, 115]
[19, 23, 28, 30, 33, 78, 110, 117]
[44, 46, 61, 74, 102, 115, 120, 127]
[1, 29, 31, 70, 79, 92, 112, 138]
[1, 17, 43, 50, 67, 76, 83, 120]
[25, 30, 76, 86, 123, 124, 133, 141]
[33, 38, 56, 63, 99, 107, 114, 139]
[2, 16, 19, 43, 94, 95, 112, 124]
[3, 18, 37, 47, 53, 96, 113, 115]
[48, 59, 62, 63, 75, 89, 106, 110]
[24, 32, 50, 55, 106, 109, 115, 129]
[0, 10, 16, 45, 90, 95, 102, 145]
[1, 29, 41, 43, 68, 121, 137, 138]
[15, 39, 43, 82, 95, 101, 116, 138]
[4, 11, 26, 64, 100, 107, 117, 123]
[8, 17, 31, 54, 60, 92, 130, 133]
[24, 27, 37, 52, 76, 78, 131, 149]
[17, 32, 42, 43, 77, 99, 100, 119]
[9, 14, 23, 32, 73, 76, 113, 145]
[2, 19, 27, 35, 65, 76, 95, 136]
[14, 34, 39, 42, 52, 79, 89, 116]
[59, 65, 72, 81, 91, 134, 141, 150]
[10, 35, 62, 84, 95, 114, 132, 134]
[13, 16, 36, 50, 59, 125, 144, 149]
[51, 60, 92, 102, 132, 134, 135, 150]
[12, 22, 41, 102, 108, 122, 135, 136]
[1, 18, 28, 42, 57, 111, 114, 116]
[5, 33, 35, 90, 101, 115, 127, 139]
[25, 47, 51, 58, 61, 103, 104, 139]
[27, 45, 75, 88, 103, 124, 128, 130]
[2, 13, 28, 45, 66, 83, 93, 132]
[24, 29, 33, 60, 101, 104, 107, 109]
[5, 21, 31, 49, 51, 67, 116, 144]
[33, 35, 45, 93, 117, 118, 122, 125]
[4, 17, 44, 59, 99, 124, 135, 147]
[43, 89, 102, 115, 126, 129, 134, 139]
[27, 48, 55, 109, 119, 120, 129, 135]
[1, 11, 41, 70, 105, 120, 125, 150]
[8, 16, 46, 55, 74, 123, 131, 145]
[2, 24, 25, 30, 50, 69, 136, 139]
[13, 17, 38, 46, 51, 57, 75, 113]
[4, 17, 57, 78, 83, 100, 121, 125]
[8, 24, 40, 68, 107, 108, 126, 143]
[5, 8, 17, 77, 79, 114, 126, 144]
[24, 26, 44, 82, 91, 129, 140, 145]
[4, 9, 48, 58, 78, 87, 92, 114]
[8, 30, 37, 54, 55, 79, 137, 146]
[24, 28, 38, 40, 48, 87, 123, 134]
[3, 19, 45, 64, 76, 83, 107, 131]
[11, 14, 33, 94, 129, 132, 134, 150]
[12, 25, 43, 51, 75, 83, 92, 146]
[21, 75, 83, 100, 109, 111, 129, 150]
[11, 14, 38, 71, 90, 101, 117, 126]
[0, 47, 69, 70, 103, 106, 133, 148]
[39, 44, 48, 50, 52, 86, 97, 144]
[22, 40, 43, 99, 113, 125, 147, 150]
[8, 44, 74, 112, 118, 128, 142, 143]
[23, 44, 65, 66, 77, 91, 101, 106]
[35, 53, 69, 80, 89, 110, 134, 149]
[25, 34, 61, 83, 90, 93, 130, 148]
[19, 48, 63, 73, 102, 107, 133, 134]
[36, 42, 62, 85, 86, 107, 115, 146]
[20, 28, 51, 67, 73, 76, 103, 144]
[1, 15, 22, 34, 35, 68, 144, 150]
[13, 22, 23, 81, 91, 101, 105, 144]
[1, 6, 23, 29, 114, 130, 141, 150]
[4, 30, 64, 67, 90, 110, 123, 128]
[6, 44, 59, 75, 81, 95, 133, 147]
[6, 17, 28, 44, 58, 60, 83, 108]
[41, 64, 78, 79, 83, 100, 116, 125]
[18, 26, 43, 57, 101, 104, 106, 134]
[11, 22, 25, 107, 113, 125, 129, 135]
[20, 26, 29, 91, 100, 108, 110, 137]
[11, 32, 78, 93, 97, 103, 104, 149]
[37, 49, 60, 64, 72, 77, 132, 138]
[5, 13, 27, 45, 85, 118, 131, 140]
[26, 48, 83, 96, 97, 105, 126, 141]
[4, 20, 76, 86, 100, 108, 128, 130]
[5, 29, 48, 52, 96, 124, 127, 130]
[22, 80, 92, 103, 109, 111, 136, 147]
[1, 29, 62, 66, 78, 90, 105, 113]
[32, 47, 69, 72, 74, 77, 111, 144]
