[2, 21, 25, 28, 67, 73, 74, 81]
[38, 51, 95, 98, 109, 115, 127, 128]
[15, 41, 43, 51, 95, 117, 138, 139]
[0, 55, 73, 84, 85, 90, 100, 109]
[51, 55, 87, 91, 105, 115, 119, 145]
[3, 23, 62, 69, 107, 133, 146, 149]
[5, 9, 36, 58, 76, 80, 84, 120]
[1, 10, 65, 71, 86, 88, 101, 107]
[61, 67, 86, 94, 110, 133, 143, 149]
[15, 69, 76, 77, 108, 125, 132, 149]
[1, 2, 13, 30, 49, 79, 80, 105]
[14, 17, 57, 68, 76, 102, 120, 131]
[31, 37, 42, 44, 61, 70, 122, 142]
[12, 38, 66, 79, 81, 90, 100, 107]
[2, 14, 37, 57, 77, 92, 97, 126]
[26, 43, 74, 98, 107, 108, 122, 150]
[23, 52, 57, 60, 76, 100, 117, 138]
[4, 39, 73, 86, 96, 111, 131, 137]
[6, 10, 12, 34, 40, 67, 81, 84]
[8, 60, 71, 77, 80, 108, 127, 130]
[16, 17, 29, 32, 41, 55, 58, 74]
[11, 14, 25, 38, 44, 48, 84, 146]
[45, 70, 90, 92, 109, 126, 140, 148]
[0, 44, 73, 76, 83, 94, 132, 141]
[7, 25, 29, 30, 38, 95, 116, 136]
[13, 46, 52, 66, 76, 77, 114, 118]
[3, 22, 25, 52, 59, 96, 105, 139]
[16, 21, 34, 61, 113, 119, 121, 125]
[6, 17, 37, 50, 89, 119, 121, 127]
[2, 58, 68, 90, 119, 120, 131, 144]
[18, 21, 51, 55, 73, 99, 121, 134]
[10, 18, 49, 59, 98, 100, 122, 139]
[9, 24, 25, 49, 67, 84, 100, 135]
[16, 27, 36, 64, 101, 109, 116, 145]
[17, 40, 50, 110, 114, 118, 134, 140]
[23, 35, 37, 41, 48, 50, 85, 86]
[12, 84, 102, 103, 118, 136, 139, 147]
[24, 75, 91, 98, 104, 113, 124, 126]
[32, 67, 74, 92, 99, 102, 104, 142]
[45, 97, 102, 111, 112, 133, 144, 147]
[11, 64, 75, 102, 103, 104, 124, 146]
[15, 18, 38, 52, 79, 102, 126, 129]
[11, 16, 39, 49, 50, 63, 122, 149]
[8, 15, 21, 34, 67, 91, 110, 149]
[2, 44, 46, 54, 67, 69, 107, 143]
[2, 63, 69, 74, 113, 131, 137, 142]
[0, 33, 34, 56, 72, 107, 110, 127]
[13, 19, 55, 67, 76, 80, 97, 142]
[35, 86, 101, 106, 111, 114, 133, 143]
[13, 21, 53, 88, 105, 110, 120, 123]
[3, 19, 38, 39, 55, 71, 76, 91]
[18, 19, 42, 47, 80, 90, 115, 131]
[20, 52, 89, 91, 113, 122, 140, 144]
[14, 31, 40, 58, 85, 112, 117, 133]
[1, 12, 35, 36, 59, 121, 130, 145]
[5, 13, 21, 59, 68, 91, 116, 123]
[38, 56, 73, 88, 120, 126, 135, 143]
[22, 66, 76, 80, 91, 121, 128, 149]
[26, 39, 58, 82, 88, 89, 130, 133]
[1, 16, 32, 34, 66, 80, 117, 143]
[0, 9, 16, 64, 69, 78, 85, 116]
[19, 26, 69, 90, 96, 116, 141, 149]
[32, 38, 54, 55, 78, 125, 126, 145]
[15, 36, 51, 66, 70, 99, 107, 111]
[20, 29, 40, 42, 62, 121, 128, 136]
[0, 24, 81, 96, 106, 110, 136, 148]
[19, 22, 26, 28, 77, 135, 138, 150]
[36, 78, 100, 108, 110, 114, 145, 146]
[17, 29, 32, 72, 79, 95, 122, 141]
[31, 74, 83, 117, 120, 128, 140, 150]
[24, 35, 51, 58, 61, 68, 139, 143]
[23, 54, 59, 62, 84, 87, 103, 117]
[6, 9, 26, 38, 52, 70, 85, 117]
[1, 11, 35, 40, 74, 90, 109, 126]
[4, 34, 43, 65, 93, 108, 109, 148]
[38, 70, 72, 85, 87, 127, 137, 145]
[8, 9, 23, 32, 41, 97, 137, 147]
[6, 15, 81, 83, 104, 128, 145, 149]
[18, 33, 57, 72, 93, 110, 131, 143]
[28, 33, 47, 51, 90, 112, 116, 145]
[5, 7, 43, 58, 94, 95, 115, 134]
[33, 39, 50, 70, 105, 106, 121, 132]
[49, 50, 52, 57, 61, 92, 100, 121]
[10, 35, 58, 92, 99, 125, 141, 150]
[36, 65, 67, 68, 70, 77, 83, 131]
[18, 20, 36, 55, 59, 104, 120, 123]
[12, 24, 43, 86, 98, 120, 124, 130]
[29, 41, 58, 61, 75, 88, 101, 103]
[40, 54, 84, 99, 106, 121, 123, 134]
[4, 21, 38, 66, 68, 77, 114, 144]
[1, 26, 86, 99, 123, 124, 139, 150]
[11, 22, 29, 82, 98, 104, 125, 127]
[26, 27, 62, 71, 84, 93, 120, 123]
[3, 11, 14, 23, 31, 32, 62, 119]
[8, 31, 71, 93, 101, 102, 127, 143]
[21, 71, 73, 118, 120, 137, 139, 142]
[22, 31, 32, 55, 64, 118, 122, 147]
[3, 32, 35, 38, 95, 97, 128, 130]
[4, 23, 30, 112, 129, 136, 142, 149]
[3, 13, 14, 16, 62, 95, 103, 105]
[31, 52, 61, 89, 91, 113, 131, 147]
[4, 11, 16, 26, 37, 43, 90, 129]
[22, 24, 44, 52, 64, 68, 77, 110]
[7, 22, 40, 49, 50, 81, 91, 119]
[5, 23, 37, 58, 88, 126, 131, 139]
[6, 9, 21, 75, 83, 87, 94, 124]
[16, 53, 66, 79, 101, 111, 121, 126]
[22, 27, 43, 66, 111, 127, 132, 135]
[7, 12, 20, 59, 63, 104, 108, 133]
[8, 12, 13, 39, 63, 74, 112, 132]
[9, 14, 58, 68, 109, 112, 137, 150]
[10, 12, 17, 19, 57, 89, 113, 115]
[12, 18, 37, 39, 96, 121, 128, 146]
[1, 48, 59, 77, 81, 90, 129, 144]
[7, 11, 29, 45, 69, 116, 138, 139]
[15, 25, 30, 50, 56, 59, 69, 144]
[16, 48, 50, 55, 62, 107, 122, 132]
[25, 40, 64, 65, 81, 98, 119, 122]
[8, 30, 77, 83, 86, 120, 138, 143]
[3, 21, 27, 52, 66, 72, 117, 131]
[27, 44, 72, 76, 90, 91, 126, 145]
[9, 24, 26, 77, 86, 107, 114, 119]
[13, 25, 42, 44, 57, 91, 94, 150]
[14, 33, 69, 82, 98, 111, 123, 138]
[4, 44, 63, 79, 107, 122, 138, 141]
[20, 28, 36, 41, 43, 53, 106, 128]
[14, 35, 45, 52, 78, 83, 99, 102]
[4, 6, 35, 38, 72, 83, 86, 142]
[7, 45, 53, 89, 98, 102, 112, 144]
[20, 29, 35, 53, 91, 101, 112, 137]
[4, 10, 12, 53, 60, 82, 139, 150]
[0, 4, 6, 20, 25, 32, 54, 98]
[11, 39, 61, 67, 94, 111, 127, 132]
[51, 53, 66, 67, 83, 95, 103, 111]
[33, 52, 59, 82, 83, 100, 117, 129]
[50, 61, 64, 78, 82, 102, 115, 147]
[6, 44, 53, 60, 69, 87, 122, 125]
[22, 33, 48, 57, 59, 68, 69, 135]
[48, 80, 96, 101, 107, 121, 137, 148]
[16, 18, 21, 30, 60, 114, 119, 134]
[19, 30, 56, 58, 84, 92, 95, 135]
[4, 23, 57, 58, 68, 123, 129, 147]
[10, 38, 54, 55, 93, 98, 139, 146]
[2, 36, 52, 68, 79, 91, 115, 127]
[10, 24, 55, 72, 77, 89, 95, 115]
[63, 70, 93, 103, 109, 140, 143, 146]
[17, 34, 41, 59, 71, 107, 117, 138]
[28, 33, 45, 75, 89, 91, 95, 123]
[25, 66, 72, 77, 92, 108, 130, 147]
[10, 30, 35, 78, 85, 109, 117, 118]
[4, 15, 17, 20, 24, 35, 128, 139]
[22, 37, 38, 53, 71, 116, 127, 150]
